,subject_id,irq-catch-1,irq-manipulation-1,irq-manipulation-2,irq-manipulation-3,irq-manipulation-4,irq-manipulation-5,irq-manipulation-6,irq-manipulation-7,irq-manipulation-8,irq-ortho-1,irq-ortho-2,irq-ortho-3,irq-ortho-4,irq-ortho-5,irq-ortho-6,irq-ortho-7,irq-verbal-1,irq-verbal-10,irq-verbal-11,irq-verbal-12,irq-verbal-2,irq-verbal-3,irq-verbal-4,irq-verbal-5,irq-verbal-6,irq-verbal-7,irq-verbal-8,irq-verbal-9,irq-visual-1,irq-visual-10,irq-visual-2,irq-visual-3,irq-visual-4,irq-visual-5,irq-visual-6,irq-visual-7,irq-visual-8,irq-visual-9,osivq-catch-1,osivq-catch-2,osviq-object-1,osviq-object-10,osviq-object-11,osviq-object-12,osviq-object-13,osviq-object-14,osviq-object-15,osviq-object-2,osviq-object-3,osviq-object-4,osviq-object-5,osviq-object-6,osviq-object-7,osviq-object-8,osviq-object-9,osviq-spatial-1,osviq-spatial-10,osviq-spatial-11,osviq-spatial-12,osviq-spatial-13,osviq-spatial-14,osviq-spatial-15,osviq-spatial-2,osviq-spatial-3,osviq-spatial-4,osviq-spatial-5,osviq-spatial-6,osviq-spatial-7,osviq-spatial-8,osviq-spatial-9,osviq-verbal-1,osviq-verbal-10,osviq-verbal-11,osviq-verbal-12,osviq-verbal-13,osviq-verbal-14,osviq-verbal-15,osviq-verbal-2,osviq-verbal-3,osviq-verbal-4,osviq-verbal-5,osviq-verbal-6,osviq-verbal-7,osviq-verbal-8,osviq-verbal-9,vviq-1,vviq-10,vviq-11,vviq-12,vviq-13,vviq-14,vviq-15,vviq-16,vviq-2,vviq-3,vviq-4,vviq-5,vviq-6,vviq-7,vviq-8,vviq-9,time_elapsed,attention_accuracy_questionnaires,vviq_sum,vviq_z,osivq_verbal_mean,osivq_visual_mean,osivq_spatial_mean,irq_verbal_mean,irq_visual_mean,failed_check_count,z_osivq_verbal_mean,z_osivq_visual_mean,z_osivq_spatial_mean,z_irq_verbal_mean,z_irq_visual_mean
518,166000,1,5,5,2,5,5,5,5,5,1,1,2,1,2,4,4,5,5,5,5,4,5,5,5,4,4,3,5,5,2,5,4,4,5,5,5,3,3,5,1,3,2,4,5,3,3,3,4,5,3,3,5,4,4,4,1,1,2,1,2,5,1,1,1,2,1,5,3,1,1,5,4,5,2,5,5,5,5,4,5,5,1,5,1,1,4,5,3,4,4,3,4,4,4,3,4,4,4,4,4,5,1373949,1,63,0.526905774876261,3.8666666666666667,3.6666666666666665,1.8666666666666667,4.583333333333333,4.1,0,1.8460259679160418,0.6432603294723064,-1.7202193793236393,1.3922832983401203,0.8643549378812406
519,166009,1,3,4,1,5,3,5,5,1,3,1,1,1,3,4,2,1,5,1,2,5,3,1,3,1,5,3,1,3,3,2,1,3,1,2,3,1,2,5,1,1,5,1,1,3,2,5,5,5,1,5,2,1,5,5,3,1,2,3,5,5,3,1,1,2,3,3,1,1,2,5,4,4,3,5,2,5,5,1,5,4,2,2,5,4,2,3,3,4,2,2,3,2,2,2,3,2,2,2,2,3,419282,1,39,-1.1513537008073833,3.7333333333333334,3.1333333333333333,2.4,2.5833333333333335,2.1,0,1.5610792210012006,-0.18094004675168182,-0.6971632496539454,-1.58242281706685,-1.9187382839175597
520,166162,1,3,3,3,2,2,3,4,4,3,4,3,3,3,4,4,4,2,4,4,3,3,4,3,4,4,3,3,3,3,4,4,4,4,3,3,4,3,4,1,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,4,3,3,3,2,3,3,3,4,3,4,2,3,3,2,2,3,2,4,4,3,3,2,3,1,2,3,4,2,295128,0,43,-0.8716437881934426,3.1333333333333333,3.1333333333333333,3.066666666666667,3.4166666666666665,3.5,1,0.2788188598844142,-0.18094004675168182,0.5816569124331729,-0.3429619356472792,0.02942697134160086
521,166183,1,2,2,4,5,2,1,5,4,5,1,1,5,3,4,5,5,2,2,5,4,5,5,5,2,5,4,5,5,2,3,3,5,5,5,5,5,4,5,1,4,3,1,2,3,2,5,4,5,3,2,1,2,4,4,2,2,4,4,4,2,3,1,2,3,5,2,5,4,3,3,1,3,2,2,4,2,2,4,4,4,3,4,3,3,4,3,3,4,4,5,5,5,3,4,5,4,3,3,4,2,575314,1,61,0.38705081856929063,2.933333333333333,3.0,3.066666666666667,4.083333333333333,4.2,0,-0.14860126048784825,-0.38699014080767885,0.5816569124331729,0.6486067694883776,1.0035095989711815
522,166255,1,3,3,4,4,4,2,5,5,2,2,1,2,3,3,1,2,5,3,4,3,3,5,5,4,4,1,4,4,3,3,3,5,3,3,4,3,4,5,1,2,4,2,4,4,3,3,3,3,2,1,4,4,4,3,1,4,4,5,3,4,3,3,3,4,3,2,2,4,3,5,3,5,2,4,5,5,5,4,5,5,3,3,2,2,4,3,3,3,2,3,4,3,4,5,2,4,5,5,3,3,813158,1,56,0.03741342780186473,3.8666666666666667,3.066666666666667,3.2,3.5833333333333335,3.5,0,1.8460259679160418,-0.28396509377968,0.8374209448505964,-0.09506975936336451,0.02942697134160086
523,166408,1,2,3,2,4,3,3,3,3,1,1,1,1,3,4,5,3,5,4,4,5,5,5,4,3,5,5,4,4,1,3,2,4,5,3,2,4,4,5,1,4,4,3,5,3,3,3,5,5,1,4,4,4,4,4,2,3,2,4,2,4,3,1,4,3,4,3,2,4,3,4,2,3,2,4,5,3,3,3,4,3,2,4,2,2,4,4,3,3,3,4,4,4,3,3,4,4,4,4,4,4,25356970,1,59,0.24719586226232027,3.066666666666667,3.7333333333333334,2.933333333333333,4.333333333333333,3.2,0,0.13634548642699398,0.7462853765003054,0.32589288001574857,1.020445033914249,-0.38803701192821904
524,166414,1,2,3,2,4,4,4,3,4,3,3,3,4,3,5,2,3,3,3,4,3,4,4,3,4,4,3,2,3,3,4,4,4,3,3,4,3,3,5,1,5,4,4,4,4,4,3,5,4,2,3,4,4,4,4,2,3,2,3,3,4,4,2,2,2,4,2,2,3,2,1,3,4,3,3,2,2,3,3,1,3,2,3,3,2,5,3,4,4,4,4,5,4,5,3,4,4,4,5,4,3,527875,1,65,0.6667607311832313,2.533333333333333,3.8666666666666667,2.6666666666666665,3.3333333333333335,3.4,0,-1.003441501232372,0.9523354705563024,-0.1856351848190984,-0.4669080237892359,-0.10972768974833931
525,166438,1,3,3,3,3,2,2,3,3,3,3,3,3,4,2,3,3,3,3,4,3,3,3,3,3,3,4,3,3,4,3,3,3,5,3,2,3,3,4,1,3,3,4,3,2,3,2,2,4,3,3,3,2,3,2,3,4,2,3,3,3,3,3,4,3,3,3,3,2,3,4,3,3,4,2,4,4,3,4,4,3,4,3,3,3,3,2,1,1,1,3,2,1,1,1,2,2,3,4,2,2,295642,0,31,-1.7107735260352648,3.4,2.8,3.0,3.1666666666666665,3.2,1,0.8487123537140968,-0.6960652818916748,0.4537748962244607,-0.7148002000731506,-0.38803701192821904
526,166489,5,4,4,5,5,4,2,2,4,2,1,2,1,1,2,3,2,2,2,2,4,2,2,3,3,2,3,2,2,3,4,3,3,4,3,3,2,2,5,1,4,3,2,3,2,2,3,3,1,2,2,5,3,4,4,4,4,5,4,2,4,2,5,4,4,2,3,3,3,3,4,2,3,2,1,4,4,2,4,1,3,2,4,2,3,5,4,4,4,4,3,4,4,4,4,4,3,5,3,4,5,614922,0,64,0.5968332530297462,2.7333333333333334,2.8666666666666667,3.466666666666667,2.4166666666666665,2.9,1,-0.5760213808601098,-0.593040234863676,1.3489490096854433,-1.8303149933507648,-0.8055009951980395
527,166495,1,2,4,2,3,2,2,2,4,4,3,3,3,4,4,4,4,5,3,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,4,3,4,4,4,1,3,2,4,4,3,2,4,4,3,2,4,3,3,3,3,2,2,2,3,3,2,2,3,2,3,3,2,3,3,3,3,3,2,2,3,3,2,2,2,2,4,2,4,2,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,4,2,360658,0,46,-0.661861353732987,2.6666666666666665,3.1333333333333333,2.533333333333333,4.0,3.6,1,-0.7184947543175308,-0.18094004675168182,-0.44139921723652187,0.5246606813464209,0.16858163243154103
